open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682935800000,28546.53166667,28552.12785714,28545.11523810,28549.87952381,0,1682936099999,0,300,0,0,0
1682936100000,28549.88190476,28560.48714286,28546.34809524,28546.34809524,0,1682936399999,0,300,0,0,0
1682936400000,28546.22095238,28546.22095238,28515.85952381,28523.67880952,0,1682936699999,0,300,0,0,0
1682936700000,28523.67404762,28552.54714286,28515.18166667,28542.11214286,0,1682936999999,0,300,0,0,0
1682937000000,28542.10976190,28543.07809524,28527.01952381,28533.23023810,0,1682937299999,0,300,0,0,0
1682937300000,28533.23500000,28533.62261905,28499.44809524,28499.44809524,0,1682937599999,0,300,0,0,0
1682937600000,28499.44404762,28528.39214286,28486.82404762,28526.42500000,0,1682937899999,0,300,0,0,0
1682937900000,28526.41785714,28533.44261905,28522.92904762,28522.92904762,0,1682938199999,0,300,0,0,0
1682938200000,28522.91476190,28559.62690476,28510.44476190,28551.59952381,0,1682938499999,0,300,0,0,0
1682938500000,28551.59952381,28559.91000000,28550.44833333,28552.92428571,0,1682938799999,0,300,0,0,0
1682938800000,28552.92833333,28557.50666667,28536.23547619,28554.52404762,0,1682939099999,0,300,0,0,0
1682939100000,28554.51928571,28586.50428571,28554.51928571,28562.28738095,0,1682939399999,0,300,0,0,0
1682939400000,28562.28738095,28562.29047619,28531.38071429,28534.15523810,0,1682939699999,0,300,0,0,0
1682939700000,28534.25523810,28541.47190476,28520.29595238,28520.40071429,0,1682939999999,0,300,0,0,0
1682940000000,28520.40071429,28524.58476190,28508.57809524,28523.62523810,0,1682940299999,0,300,0,0,0
1682940300000,28523.35380952,28549.04952381,28514.43952381,28549.03833333,0,1682940599999,0,300,0,0,0
1682940600000,28549.04309524,28549.05547619,28532.16880952,28532.75690476,0,1682940899999,0,300,0,0,0
1682940900000,28532.75690476,28544.20809524,28518.08595238,28544.20738095,0,1682941199999,0,300,0,0,0
1682941200000,28544.20738095,28557.32547619,28544.20738095,28557.24119048,0,1682941499999,0,300,0,0,0
1682941500000,28557.24047619,28557.36976190,28532.57880952,28539.03119048,0,1682941799999,0,300,0,0,0
1682941800000,28539.22642857,28570.08428571,28539.21380952,28559.72666667,0,1682942099999,0,300,0,0,0
1682942100000,28559.72666667,28559.73142857,28515.43833333,28524.50261905,0,1682942399999,0,300,0,0,0
